event_id,event_type,event_name,official_start_date,official_end_date,impact_start_date,impact_end_date,peak_date,peak_hour_bins,anchor_stations,impact_stations,confidence,strength_prior,note
NYB_2022,new_year_bell,2022 제야의 종,2022-12-31,2023-01-01,2022-12-31,2023-01-01,2022-12-31,20;21;22;23;00;01,종각,시청;종로3가;을지로입구;광화문,A,night_strong,일일 총량은 오히려 감소. 야간 시간대 피처로만 사용
NYB_2023,new_year_bell,2023 제야의 종·새해맞이 카운트다운,2023-12-31,2024-01-01,2023-12-31,2024-01-01,2023-12-31,20;21;22;23;00;01,종각,시청;종로3가;을지로입구;광화문,A,night_strong,"§11-2 검증: 총량 감소, 21시 이후 피크 강함"
NYB_2024,new_year_bell,2024 제야의 종,2024-12-31,2025-01-01,2024-12-31,2025-01-01,2024-12-31,20;21;22;23;00;01,종각,시청;종로3가;을지로입구;광화문,A,night_strong,
NYB_2025,new_year_bell,2025 제야의 종,2025-12-31,2026-01-01,2025-12-31,2026-01-01,2025-12-31,20;21;22;23;00;01,종각,시청;종로3가;을지로입구;광화문,A,night_strong,
CB_2023,cherry_blossom,2023 영등포 여의도 봄꽃축제,2023-04-04,2023-04-09,2023-04-01,2023-04-09,2023-04-02,,여의나루,여의도;마포;공덕,A,strong,§11-1 검증: 공식기간보다 직전 주말(04-01~04-03) 급증이 더 강함
CB_2024,cherry_blossom,2024 영등포 여의도 봄꽃축제,2024-03-29,2024-04-02,2024-03-29,2024-04-02,,,여의나루,여의도;마포;공덕,A,strong,
CB_2025,cherry_blossom,2025 영등포 여의도 봄꽃축제,2025-04-08,2025-04-12,2025-04-08,2025-04-12,,,여의나루,여의도;마포;공덕,A,strong,
CB_2026,cherry_blossom,2026 영등포 여의도 봄꽃축제,2026-04-03,2026-04-07,2026-04-03,2026-04-07,,,여의나루,여의도;마포;공덕,A,strong,"미래 이벤트 — 학습 제외, 추론용"
FW_2022,fireworks,서울세계불꽃축제 2022,2022-10-08,2022-10-08,2022-10-08,2022-10-08,2022-10-08,15;16;17;18;19;20;21;22,여의나루,여의도;마포;공덕,A-,very_strong,§11-1 검증
FW_2023,fireworks,서울세계불꽃축제 2023,2023-10-07,2023-10-07,2023-10-07,2023-10-07,2023-10-07,15;16;17;18;19;20;21;22,여의나루,여의도;마포;공덕,A,very_strong,"§11-2 검증: 여의나루 +289.7%, 여의도 +223.0%, 마포 +195.9%, 공덕 +39.2%"
FW_2024,fireworks,서울세계불꽃축제 2024,2024-10-05,2024-10-05,2024-10-05,2024-10-05,2024-10-05,15;16;17;18;19;20;21;22,여의나루,여의도;마포;공덕,A,very_strong,
FW_2025,fireworks,서울세계불꽃축제 2025,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,15;16;17;18;19;20;21;22,여의나루,여의도;마포;공덕,A,very_strong,
HW_2022,halloween_proxy,Halloween commercial crowd period 2022,2022-10-28,2022-10-31,2022-10-28,2022-10-31,2022-10-29,18;19;20;21;22;23,이태원;홍대입구,상수;합정;신촌,B,medium,§11-1: 이태원 peak 확인. 공식 축제 아님(proxy)
HW_2023,halloween_proxy,Halloween commercial crowd period 2023,2023-10-27,2023-10-31,2023-10-27,2023-10-31,2023-10-28,18;19;20;21;22;23,이태원;홍대입구,상수;합정;신촌,B,weak,§11-2: 전체 증가율 약함 → 낮은 가중치 proxy
HW_2024,halloween_proxy,Halloween commercial crowd period 2024,2024-10-25,2024-10-31,2024-10-25,2024-10-31,2024-10-26,18;19;20;21;22;23,이태원;홍대입구,상수;합정;신촌,B,not_verified,
HW_2025,halloween_proxy,Halloween commercial crowd period 2025,2025-10-24,2025-11-02,2025-10-31,2025-11-02,2025-11-01,18;19;20;21;22;23,이태원;홍대입구,상수;합정;신촌,B,not_verified,"high impact window 2025-10-31~11-02, peak 후보 11-01 별도 관리"
