mark_status,station_key,station_name,display_name,available_lines,click_x_px,click_y_px,click_x_pct,click_y_pct,click_radius_px,click_shape,source_method,manual_override_note
완료,서울역,서울역,서울역,"1,4",1916,1308,37.421875,45.416666666666664,42,circle,auto_from_visual_nodes_avg,
완료,시청,시청,시청역,"1,2",1916,1144,37.421875,39.72222222222222,42,circle,auto_from_visual_nodes_avg,
완료,종각,종각,종각역,1,1916,1048,37.421875,36.388888888888886,24,circle,auto_from_visual_nodes_avg,
완료,종로3가,종로3가,종로3가역,"1,3,5",2084,980,40.703125,34.02777777777778,52,circle,auto_from_visual_nodes_avg,
완료,종로5가,종로5가,종로5가역,1,2240,980,43.75,34.02777777777778,24,circle,auto_from_visual_nodes_avg,
완료,동대문,동대문,동대문역,"1,4",2328,980,45.46875,34.02777777777778,42,circle,auto_from_visual_nodes_avg,
완료,동묘앞,동묘앞,동묘앞역,"1,6",2528,980,49.375,34.02777777777778,42,circle,auto_from_visual_nodes_avg,
완료,신설동,신설동,신설동역,"1,2",2712,980,52.96875,34.02777777777778,42,circle,auto_from_visual_nodes_avg,
완료,제기동,제기동,제기동역,1,2864,980,55.93749999999999,34.02777777777778,24,circle,auto_from_visual_nodes_avg,
완료,청량리,청량리,청량리역,1,3020,980,58.984375,34.02777777777778,24,circle,auto_from_visual_nodes_avg,
완료,을지로입구,을지로입구,을지로입구역,2,2000,1144,39.0625,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,을지로3가,을지로3가,을지로3가역,"2,3",2084,1144,40.703125,39.72222222222222,42,circle,auto_from_visual_nodes_avg,
완료,을지로4가,을지로4가,을지로4가역,"2,5",2200,1144,42.96875,39.72222222222222,42,circle,auto_from_visual_nodes_avg,
완료,동대문역사문화공원,동대문역사문화공원,동대문역사문화공원역,"2,4,5",2328,1144,45.46875,39.72222222222222,52,circle,auto_from_visual_nodes_avg,
완료,신당,신당,신당역,"2,6",2528,1144,49.375,39.72222222222222,42,circle,auto_from_visual_nodes_avg,
완료,상왕십리,상왕십리,상왕십리역,2,2628,1144,51.328125,39.72222222222222,24,circle,auto_from_visual_nodes_avg,
완료,왕십리,왕십리,왕십리역,"2,5",2740,1144,53.515625,39.72222222222222,42,circle,auto_from_visual_nodes_avg,
완료,한양대,한양대,한양대역,2,2864,1188,55.93749999999999,41.25,24,circle,auto_from_visual_nodes_avg,
완료,뚝섬,뚝섬,뚝섬역,2,2920,1244,57.03125,43.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,성수,성수,성수역,2,2972,1294,58.046875,44.93055555555556,24,circle,auto_from_visual_nodes_avg,
완료,건대입구,건대입구,건대입구역,"2,7",2972,1468,58.046875,50.97222222222222,42,circle,auto_from_visual_nodes_avg,
완료,구의,구의,구의역,2,2972,1552,58.046875,53.888888888888886,24,circle,auto_from_visual_nodes_avg,
완료,강변,강변,강변역,2,2972,1628,58.046875,56.52777777777778,24,circle,auto_from_visual_nodes_avg,
완료,잠실나루,잠실나루,잠실나루역,2,2972,1708,58.046875,59.30555555555556,24,circle,auto_from_visual_nodes_avg,
완료,잠실,잠실,잠실역,"2,8",2972,1800,58.046875,62.5,42,circle,auto_from_visual_nodes_avg,
완료,잠실새내,잠실새내,잠실새내역,2,2972,1882,58.046875,65.34722222222223,24,circle,auto_from_visual_nodes_avg,
완료,종합운동장,종합운동장,종합운동장역,2,2972,1964,58.046875,68.19444444444444,24,circle,auto_from_visual_nodes_avg,
완료,삼성,삼성,삼성역,2,2874,2040,56.13281249999999,70.83333333333334,24,circle,auto_from_visual_nodes_avg,
