station_key,station_name,from_line_id,to_line_id,from_visual_node_id,to_visual_node_id,transfer_style,connector_visible,connector_color,memo,x0,y0,x1,y1
서울역,서울역,1,4,서울역_L1,서울역_L4,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1916.0,1308.0,1916.0,1308.0
시청,시청,1,2,시청_L1,시청_L2,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,1916.0,1144.0,1916.0,1144.0
종로3가,종로3가,1,3,종로3가_L1,종로3가_L3,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2084.0,980.0,2084.0,980.0
종로3가,종로3가,1,5,종로3가_L1,종로3가_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2084.0,980.0,2084.0,980.0
종로3가,종로3가,3,5,종로3가_L3,종로3가_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2084.0,980.0,2084.0,980.0
동대문,동대문,1,4,동대문_L1,동대문_L4,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2328.0,980.0,2328.0,980.0
동묘앞,동묘앞,1,6,동묘앞_L1,동묘앞_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2528.0,980.0,2528.0,980.0
신설동,신설동,1,2,신설동_L1,신설동_L2,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2712.0,980.0,2712.0,980.0
을지로3가,을지로3가,2,3,을지로3가_L2,을지로3가_L3,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2084.0,1144.0,2084.0,1144.0
을지로4가,을지로4가,2,5,을지로4가_L2,을지로4가_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2200.0,1144.0,2200.0,1144.0
동대문역사문화공원,동대문역사문화공원,2,4,동대문역사문화공원_L2,동대문역사문화공원_L4,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2328.0,1144.0,2328.0,1144.0
동대문역사문화공원,동대문역사문화공원,2,5,동대문역사문화공원_L2,동대문역사문화공원_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2328.0,1144.0,2328.0,1144.0
동대문역사문화공원,동대문역사문화공원,4,5,동대문역사문화공원_L4,동대문역사문화공원_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2328.0,1144.0,2328.0,1144.0
신당,신당,2,6,신당_L2,신당_L6,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2528.0,1144.0,2528.0,1144.0
왕십리,왕십리,2,5,왕십리_L2,왕십리_L5,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2740.0,1144.0,2740.0,1144.0
건대입구,건대입구,2,7,건대입구_L2,건대입구_L7,connector,True,#9CA3AF,지도 렌더링용 환승 연결선; 실제 환승 시간/거리 평가는 별도 환승 데이터 사용,2972.0,1468.0,2972.0,1468.0
