station_no,station_key,station_name,display_name,available_lines,candidate_station_uids,project_branches,is_transfer_station,is_event_station,alias_or_note,memo,n_lines,is_branch_node
1,서울역,서울역,서울역,"1,4",1_서울역;4_서울역,1:main;4:main,True,False,,,2,False
2,시청,시청,시청역,"1,2",1_시청;2_시청,1:main;2:main,True,True,,,2,False
3,종각,종각,종각역,1,1_종각,1:main,False,True,,,1,False
4,종로3가,종로3가,종로3가역,"1,3,5",1_종로3가;3_종로3가;5_종로3가,1:main;3:main;5:common,True,False,,,3,False
5,종로5가,종로5가,종로5가역,1,1_종로5가,1:main,False,False,,,1,False
6,동대문,동대문,동대문역,"1,4",1_동대문;4_동대문,1:main;4:main,True,False,,,2,False
7,동묘앞,동묘앞,동묘앞역,"1,6",1_동묘앞;6_동묘앞,1:main;6:main,True,False,,,2,False
8,신설동,신설동,신설동역,"1,2",1_신설동;2_신설동,1:main;2:seongsu_branch,True,False,,,2,False
9,제기동,제기동,제기동역,1,1_제기동,1:main,False,False,,,1,False
10,청량리,청량리,청량리역,1,1_청량리,1:main,False,False,청량리(서울시립대입구),,1,False
11,을지로입구,을지로입구,을지로입구역,2,2_을지로입구,2:main,False,False,,,1,False
12,을지로3가,을지로3가,을지로3가역,"2,3",2_을지로3가;3_을지로3가,2:main;3:main,True,False,,,2,False
13,을지로4가,을지로4가,을지로4가역,"2,5",2_을지로4가;5_을지로4가,2:main;5:common,True,False,,,2,False
14,동대문역사문화공원,동대문역사문화공원,동대문역사문화공원역,"2,4,5",2_동대문역사문화공원;4_동대문역사문화공원;5_동대문역사문화공원,2:main;4:main;5:common,True,False,동대문역사문화공원(DDP),,3,False
15,신당,신당,신당역,"2,6",2_신당;6_신당,2:main;6:main,True,False,,,2,False
16,상왕십리,상왕십리,상왕십리역,2,2_상왕십리,2:main,False,False,,,1,False
17,왕십리,왕십리,왕십리역,"2,5",2_왕십리;5_왕십리,2:main;5:common,True,False,,,2,False
18,한양대,한양대,한양대역,2,2_한양대,2:main,False,True,,,1,False
19,뚝섬,뚝섬,뚝섬역,2,2_뚝섬,2:main,False,False,,,1,False
20,성수,성수,성수역,2,2_성수;2_성수@seongsu_branch,2:main;2:seongsu_branch,False,False,,,1,True
21,건대입구,건대입구,건대입구역,"2,7",2_건대입구;7_건대입구,2:main;7:main,True,True,,,2,False
22,구의,구의,구의역,2,2_구의,2:main,False,False,,,1,False
23,강변,강변,강변역,2,2_강변,2:main,False,False,,,1,False
24,잠실나루,잠실나루,잠실나루역,2,2_잠실나루,2:main,False,False,,,1,False
25,잠실,잠실,잠실역,"2,8",2_잠실;8_잠실,2:main;8:main,True,False,,,2,False
26,잠실새내,잠실새내,잠실새내역,2,2_잠실새내,2:main,False,False,,,1,False
27,종합운동장,종합운동장,종합운동장역,2,2_종합운동장,2:main,False,True,,,1,False
28,삼성,삼성,삼성역,2,2_삼성,2:main,False,True,,,1,False
29,선릉,선릉,선릉역,2,2_선릉,2:main,False,False,,,1,False
30,역삼,역삼,역삼역,2,2_역삼,2:main,False,False,,,1,False
31,강남,강남,강남역,2,2_강남,2:main,False,False,,,1,False
32,교대,교대,교대역,"2,3",2_교대;3_교대,2:main;3:main,True,False,,,2,False
33,서초,서초,서초역,2,2_서초,2:main,False,False,,,1,False
34,방배,방배,방배역,2,2_방배,2:main,False,False,,,1,False
35,사당,사당,사당역,"2,4",2_사당;4_사당,2:main;4:main,True,False,,,2,False
36,낙성대,낙성대,낙성대역,2,2_낙성대,2:main,False,False,,,1,False
37,서울대입구,서울대입구,서울대입구역,2,2_서울대입구,2:main,False,False,,,1,False
38,봉천,봉천,봉천역,2,2_봉천,2:main,False,False,,,1,False
39,신림,신림,신림역,2,2_신림,2:main,False,False,,,1,False
40,신대방,신대방,신대방역,2,2_신대방,2:main,False,False,,,1,False
41,구로디지털단지,구로디지털단지,구로디지털단지역,2,2_구로디지털단지,2:main,False,False,,,1,False
42,대림,대림,대림역,"2,7",2_대림;7_대림,2:main;7:main,True,False,,,2,False
43,신도림,신도림,신도림역,2,2_신도림;2_신도림@sinjeong_branch,2:main;2:sinjeong_branch,False,False,,,1,True
44,문래,문래,문래역,2,2_문래,2:main,False,False,,,1,False
45,영등포구청,영등포구청,영등포구청역,"2,5",2_영등포구청;5_영등포구청,2:main;5:common,True,False,,,2,False
46,당산,당산,당산역,2,2_당산,2:main,False,False,,,1,False
47,합정,합정,합정역,"2,6",2_합정;6_합정,2:main;6:main,True,False,,,2,False
48,홍대입구,홍대입구,홍대입구역,2,2_홍대입구,2:main,False,True,,,1,False
49,신촌,신촌,신촌역,2,2_신촌,2:main,False,True,,,1,False
50,이대,이대,이대역,2,2_이대,2:main,False,True,,,1,False
51,아현,아현,아현역,2,2_아현,2:main,False,False,,,1,False
52,충정로,충정로,충정로역,"2,5",2_충정로;5_충정로,2:main;5:common,True,False,,,2,False
53,용답,용답,용답역,2,2_용답,2:seongsu_branch,False,False,,,1,False
54,신답,신답,신답역,2,2_신답,2:seongsu_branch,False,False,,,1,False
55,용두,용두,용두역,2,2_용두,2:seongsu_branch,False,False,,,1,False
56,도림천,도림천,도림천역,2,2_도림천,2:sinjeong_branch,False,False,,,1,False
57,양천구청,양천구청,양천구청역,2,2_양천구청,2:sinjeong_branch,False,False,,,1,False
58,신정네거리,신정네거리,신정네거리역,2,2_신정네거리,2:sinjeong_branch,False,False,,,1,False
59,까치산,까치산,까치산역,"2,5",2_까치산;5_까치산,2:sinjeong_branch;5:common,True,False,,,2,False
60,지축,지축,지축역,3,3_지축,3:main,False,False,,,1,False
61,구파발,구파발,구파발역,3,3_구파발,3:main,False,False,,,1,False
62,연신내,연신내,연신내역,"3,6",3_연신내;6_연신내,3:main;6:main,True,False,,,2,False
63,불광,불광,불광역,"3,6",3_불광;6_불광,3:main;6:main,True,False,,,2,False
64,녹번,녹번,녹번역,3,3_녹번,3:main,False,False,,,1,False
65,홍제,홍제,홍제역,3,3_홍제,3:main,False,False,,,1,False
66,무악재,무악재,무악재역,3,3_무악재,3:main,False,False,,,1,False
67,독립문,독립문,독립문역,3,3_독립문,3:main,False,False,,,1,False
68,경복궁,경복궁,경복궁역,3,3_경복궁,3:main,False,True,경복궁(정부서울청사),,1,False
69,안국,안국,안국역,3,3_안국,3:main,False,False,,,1,False
70,충무로,충무로,충무로역,"3,4",3_충무로;4_충무로,3:main;4:main,True,False,,,2,False
71,동대입구,동대입구,동대입구역,3,3_동대입구,3:main,False,True,,,1,False
72,약수,약수,약수역,"3,6",3_약수;6_약수,3:main;6:main,True,False,,,2,False
73,금호,금호,금호역,3,3_금호,3:main,False,False,,,1,False
74,옥수,옥수,옥수역,3,3_옥수,3:main,False,False,,,1,False
75,압구정,압구정,압구정역,3,3_압구정,3:main,False,False,,,1,False
76,신사,신사,신사역,3,3_신사,3:main,False,False,,,1,False
77,잠원,잠원,잠원역,3,3_잠원,3:main,False,False,,,1,False
78,고속터미널,고속터미널,고속터미널역,"3,7",3_고속터미널;7_고속터미널,3:main;7:main,True,False,,,2,False
79,남부터미널,남부터미널,남부터미널역,3,3_남부터미널,3:main,False,False,,,1,False
80,양재,양재,양재역,3,3_양재,3:main,False,False,,,1,False
81,매봉,매봉,매봉역,3,3_매봉,3:main,False,False,,,1,False
82,도곡,도곡,도곡역,3,3_도곡,3:main,False,False,,,1,False
83,대치,대치,대치역,3,3_대치,3:main,False,False,,,1,False
84,학여울,학여울,학여울역,3,3_학여울,3:main,False,True,,,1,False
85,대청,대청,대청역,3,3_대청,3:main,False,False,,,1,False
86,일원,일원,일원역,3,3_일원,3:main,False,False,,,1,False
87,수서,수서,수서역,3,3_수서,3:main,False,False,,,1,False
88,가락시장,가락시장,가락시장역,"3,8",3_가락시장;8_가락시장,3:main;8:main,True,False,,,2,False
89,경찰병원,경찰병원,경찰병원역,3,3_경찰병원,3:main,False,False,,,1,False
90,오금,오금,오금역,"3,5",3_오금;5_오금,3:main;5:macheon_branch,True,False,,,2,False
91,불암산,불암산,불암산역,4,4_불암산,4:main,False,False,당고개,,1,False
92,상계,상계,상계역,4,4_상계,4:main,False,False,,,1,False
