station_uid,line_id,station_code,station_name,station_name_raw,renamed_from,in_project_scope,is_transfer_station,attribution_flag,share_in_station,attribution_note,coverage_full,n_months,first_ym,last_ym,total
1_150,1,150,서울역,서울역,,1,1,ok,0.7788,,1,48,2022-07,2026-06,170836566
1_151,1,151,시청,시청,,1,1,ok,0.5164,,1,48,2022-07,2026-06,73119495
1_152,1,152,종각,종각,,1,0,ok,1.0,,1,48,2022-07,2026-06,105320150
1_153,1,153,종로3가,종로3가,,1,1,ok,0.4815,,1,48,2022-07,2026-06,71598458
1_154,1,154,종로5가,종로5가,,1,0,ok,1.0,,1,48,2022-07,2026-06,67411869
1_155,1,155,동대문,동대문,,1,1,ok,0.3867,,1,48,2022-07,2026-06,34921467
1_156,1,156,신설동,신설동,,1,1,ok,0.78,,1,48,2022-07,2026-06,39069760
1_157,1,157,제기동,제기동,,1,0,ok,1.0,,1,48,2022-07,2026-06,48606989
1_158,1,158,청량리,청량리(서울시립대입구),,1,0,ok,1.0,,1,48,2022-07,2026-06,63425486
1_159,1,159,동묘앞,동묘앞,,1,1,ok,0.5397,,1,48,2022-07,2026-06,30200804
2_201,2,201,시청,시청,,1,1,ok,0.4836,,1,48,2022-07,2026-06,68470942
2_202,2,202,을지로입구,을지로입구,,1,0,ok,1.0,,1,48,2022-07,2026-06,135762396
2_203,2,203,을지로3가,을지로3가,,1,1,ok,0.6758,,1,48,2022-07,2026-06,67962176
2_204,2,204,을지로4가,을지로4가,,1,1,ok,0.6868,,1,48,2022-07,2026-06,38983788
2_205,2,205,동대문역사문화공원,동대문역사문화공원(DDP),,1,1,ok,0.4375,,1,48,2022-07,2026-06,46935564
2_206,2,206,신당,신당,,1,1,ok,0.6374,,1,48,2022-07,2026-06,42858819
2_207,2,207,상왕십리,상왕십리,,1,0,ok,1.0,,1,48,2022-07,2026-06,39645062
2_208,2,208,왕십리,왕십리(성동구청),,1,1,ok,0.7548,,1,48,2022-07,2026-06,43400060
2_209,2,209,한양대,한양대,,1,0,ok,1.0,,1,48,2022-07,2026-06,32538845
