transfer_id,station_name,valid_project_lines,line_count,has_branch_line,note
TR_001,서울역,"1,4",2,0,
TR_002,시청,"1,2",2,0,
TR_003,종로3가,"1,3,5",3,0,
TR_004,동대문,"1,4",2,0,
TR_005,동묘앞,"1,6",2,0,
TR_006,신설동,"1,2(성수지선)",2,1,
TR_007,을지로3가,"2,3",2,0,
TR_008,을지로4가,"2,5",2,0,
TR_009,동대문역사문화공원,"2,4,5",3,0,
TR_010,신당,"2,6",2,0,
TR_011,왕십리,"2,5",2,0,
TR_012,건대입구,"2,7",2,0,
TR_013,잠실,"2,8",2,0,
TR_014,교대,"2,3",2,0,
TR_015,사당,"2,4",2,0,
TR_016,대림,"2,7",2,0,
TR_017,영등포구청,"2,5",2,0,
TR_018,까치산,"2(신정지선),5",2,1,
TR_019,합정,"2,6",2,0,
TR_020,충정로,"2,5",2,0,
TR_021,연신내,"3,6",2,0,
TR_022,불광,"3,6",2,0,
TR_023,충무로,"3,4",2,0,
TR_024,약수,"3,6",2,0,
TR_025,고속터미널,"3,7",2,0,
TR_026,가락시장,"3,8",2,0,
TR_027,오금,"3,5",2,0,
TR_028,노원,"4,7",2,0,
TR_029,삼각지,"4,6",2,0,
TR_030,이수,"4,7",2,0,
TR_031,공덕,"5,6",2,0,
TR_032,청구,"5,6",2,0,
TR_033,군자,"5,7",2,0,
TR_034,천호,"5,8",2,0,
TR_035,태릉입구,"6,7",2,0,
