event_id,event_type,university,academic_year,exam_start_date,exam_end_date,n_days,impact_stations,station_impact_level,confidence,verified_effect,is_supplementary,note
ESSAY_연세대_2023,essay,연세대,2023,2022-10-01,2022-10-01,1,신촌,strong,A-/B,confirmed,0,
ESSAY_홍익대_2023,essay,홍익대,2023,2022-10-08,2022-10-09,2,홍대입구;상수,conditional,B,not_verified,0,2024·2025학년도는 불꽃축제와 날짜 충돌 → 교란요인 반드시 분리
ESSAY_성균관대_2023,essay,성균관대,2023,2022-11-19,2022-11-20,2,혜화,strong,B,confirmed,0,
ESSAY_건국대_2023,essay,건국대,2023,2022-11-19,2022-11-19,1,건대입구,conditional,B,confirmed,0,
ESSAY_숙명여대_2023,essay,숙명여대,2023,2022-11-19,2022-11-20,2,숙대입구,strong,B,confirmed,0,
ESSAY_동국대_2023,essay,동국대,2023,2022-11-20,2022-11-20,1,동대입구,strong,B,confirmed,0,
ESSAY_한양대_2023,essay,한양대,2023,2022-11-26,2022-11-27,2,한양대,very_strong,B,confirmed_strong,0,
ESSAY_이화여대_2023,essay,이화여대,2023,2022-11-26,2022-11-27,2,이대,strong,B,confirmed,0,
ESSAY_연세대_2024,essay,연세대,2024,2023-09-23,2023-09-23,1,신촌,strong,A-/B,not_verified,0,
ESSAY_홍익대_2024,essay,홍익대,2024,2023-10-07,2023-10-08,2,홍대입구;상수,conditional,B,not_verified,0,2024·2025학년도는 불꽃축제와 날짜 충돌 → 교란요인 반드시 분리
ESSAY_성균관대_2024,essay,성균관대,2024,2023-11-18,2023-11-19,2,혜화,strong,B,not_verified,0,
ESSAY_건국대_2024,essay,건국대,2024,2023-11-18,2023-11-18,1,건대입구,conditional,B,not_verified,0,
ESSAY_숙명여대_2024,essay,숙명여대,2024,2023-11-18,2023-11-19,2,숙대입구,strong,B,not_verified,0,
ESSAY_동국대_2024,essay,동국대,2024,2023-11-19,2023-11-19,1,동대입구,strong,B,confirmed,0,
ESSAY_한양대_2024,essay,한양대,2024,2023-11-25,2023-11-26,2,한양대,very_strong,B,confirmed_strong,0,
ESSAY_이화여대_2024,essay,이화여대,2024,2023-11-25,2023-11-26,2,이대,strong,B,not_verified,0,
ESSAY_홍익대_2025,essay,홍익대,2025,2024-10-05,2024-10-06,2,홍대입구;상수,conditional,B,not_verified,0,2024·2025학년도는 불꽃축제와 날짜 충돌 → 교란요인 반드시 분리
