line_id,station_code,station_name_raw,first_seen,last_seen,n_rows
2,217,신천,2022-12-31,2022-12-31,78
2,217,잠실새내,2022-12-31,2026-06-30,2496
4,409,당고개,2022-12-31,2025-03-31,1404
4,409,불암산,2025-06-30,2026-06-30,1170
4,416,미아사거리,2023-12-31,2026-06-30,1794
4,416,미아삼거리,2022-12-31,2025-03-31,780
5,2549,강동,2022-12-31,2026-06-30,1443
5,2549,강동(하남),2023-12-31,2024-06-30,546
5,2549,강동(하남검단산),2025-06-30,2026-06-30,585
5,9005,강동,2024-06-30,2025-03-31,273
5,9005,강동(마천),2023-12-31,2026-06-30,1131
7,2730,뚝섬유원지,2022-12-31,2023-12-31,468
7,2730,자양(뚝섬한강공원),2024-03-31,2026-06-30,2106
7,2738,이수,2025-06-30,2026-06-30,1170
7,2738,총신대입구,2022-12-31,2025-03-31,1404
