event_id,treated_station,controls,note
NYB_2022,종각,양재;가산디지털단지;명동;연신내;수유,spillover 제외 3개
NYB_2023,종각,양재;가산디지털단지;명동;연신내;수유,spillover 제외 3개
NYB_2024,종각,양재;가산디지털단지;명동;연신내;수유,spillover 제외 3개
NYB_2025,종각,양재;가산디지털단지;명동;연신내;수유,spillover 제외 3개
CB_2023,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
CB_2024,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
CB_2025,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
CB_2026,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
FW_2022,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
FW_2023,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
FW_2024,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
FW_2025,여의나루,아차산;신당;미아;디지털미디어시티;왕십리,spillover 제외 3개
HW_2022,이태원,남한산성입구;마들;약수;수락산;석계,spillover 제외 6개
HW_2022,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
HW_2023,이태원,남한산성입구;마들;약수;수락산;석계,spillover 제외 6개
HW_2023,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
HW_2024,이태원,남한산성입구;마들;약수;수락산;석계,spillover 제외 6개
HW_2024,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
HW_2025,이태원,남한산성입구;마들;약수;수락산;석계,spillover 제외 6개
HW_2025,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
ESSAY_연세대_2023,신촌,가산디지털단지;양재;명동;연신내;사당,spillover 제외 3개
ESSAY_홍익대_2023,홍대입구,강남;잠실;서울역;구로디지털단지;신림,spillover 제외 3개
ESSAY_홍익대_2023,상수,한강진;신풍;천왕;남성;영등포시장,spillover 제외 4개
ESSAY_성균관대_2023,혜화,양재;가산디지털단지;명동;연신내;수유,spillover 제외 6개
ESSAY_건국대_2023,건대입구,가산디지털단지;양재;명동;연신내;사당,spillover 제외 5개
ESSAY_숙명여대_2023,숙대입구,디지털미디어시티;면목;남구로;아차산;우장산,spillover 제외 6개
ESSAY_동국대_2023,동대입구,영등포시장;단대오거리;신풍;한강진;월곡,spillover 제외 5개
