OD,최속_시간,최속_체감,최속_최대혼잡,최속_환승,대안,대안_시간손실,대안_혼잡감소pp,대안_체감,대안_환승,시간대대안,시간대_혼잡감소pp
2호선 신촌→2호선 잠실,34.5,34.9,98.7,0,없음,,,,,10:00,64.6
1호선 서울역→2호선 강남,29.8,37.9,147.7,2,있음,3.8,27.4,40.0,2.0,,
5호선 군자→5호선 여의나루,32.5,32.5,82.5,0,없음,,,,,10:30,36.9
2호선 한양대→3호선 고속터미널,25.5,27.7,88.4,2,없음,,,,,06:30,45.4
4호선 혜화→2호선 사당,29.3,33.4,141.7,1,없음,,,,,10:00,87.4
1호선 종각→6호선 이태원,18.0,22.2,79.3,2,있음,0.8,35.5,22.8,2.0,,
2호선 건대입구→2호선 홍대입구,28.5,28.5,76.7,0,없음,,,,,06:30,50.2
6호선 안암→2호선 삼성,34.7,36.1,106.3,1,없음,,,,,06:30,70.7
5호선 방화→5호선 마천,90.7,91.0,89.1,1,없음,,,,,10:30,43.7
6호선 응암→3호선 고속터미널,40.3,41.9,108.3,1,없음,,,,,06:30,50.1
