feature,mean_abs_shap,share_pct
day_type,3.0714,13.41
time_bin_index,2.8498,12.44
log_flow_total,2.4288,10.6
line_id,2.1833,9.53
boarding_cnt,2.145,9.36
flow_total,1.9444,8.49
station_flow_total,1.3571,5.92
direction,1.0295,4.49
month,0.8012,3.5
is_pm_peak,0.7796,3.4
log_station_flow,0.7334,3.2
alighting_cnt,0.6678,2.92
line_share_in_station,0.645,2.82
boarding_ratio,0.6383,2.79
net_alighting_ratio,0.613,2.68
is_am_peak,0.4781,2.09
bin_start_min,0.224,0.98
is_transfer_station,0.1831,0.8
quarter,0.0964,0.42
branch_code,0.0324,0.14
is_branch_row,0.0037,0.02
attribution_flag,0.0016,0.01
has_ridership,0.0,0.0
